1219	226
3099	391
2640	783
3023	1153
60	565
92	1051
2769	1133
2330	717
1657	1573
1950	2217
844	1697
3201	504
885	2893
363	1674
1341	1587
931	1679
716	698
1165	1687
341	2475
3155	954
2746	3071
1218	112
2000	2538
1378	3272
2237	2986
2668	1783
1461	1659
324	2755
3199	3029
870	2105
3210	2846
330	946
1872	1906
248	2868
552	469
2842	636
659	98
2884	51
1357	465
635	2184
1277	2701
1288	410
1992	2777
835	1759
1035	884
1494	214
2969	1369
2043	1364
641	3175
3105	2897
2736	2120
1167	617
1750	2458
2372	2437
1596	138
285	184
2888	2952
1222	2657
1398	723
3077	2635
1165	1296
3174	2939
989	864
1311	2624
2049	1606
2638	817
963	1508
3243	2996
2745	1090
284	1343
2314	743
2291	1988
1614	1521
1022	2721
1659	2888
147	426
33	2203
471	1792
2743	3205
909	3223
1171	406
79	1088
3282	849
638	2758
128	3000
2206	858
3143	534
560	581
977	771
463	1420
1759	2340
360	1586
2006	1698
510	1610
1919	2323
2651	606
1588	2270
362	2459
2767	139
3131	943
2988	2835
342	478
130	851
276	624
824	270
3255	1204
2597	2555
582	957
398	2940
1338	1305
1056	2096
587	59
2819	2149
1399	1855
1935	261
1100	2234
1399	1282
220	1840
709	307
2113	2107
2393	1980
1563	146
279	1871
3070	1025
167	325
592	2677
1566	1796
952	716
810	1535
1831	536
1222	841
2345	1647
3076	1264
208	225
2169	204
3038	276
1711	1210
2370	2068
710	316
2127	2253
885	2499
1748	2418
1224	2610
2456	3018
526	1025
2024	378
1686	2506
333	2505
1512	1482
542	1349
3196	1568
955	173
3200	1514
2367	298
971	2061
3082	2149
1584	609
2331	2155
657	1515
1712	1314
1815	2189
1138	745
2587	3278
2284	2116
814	2562
1106	3286
2280	91
18	1544
3045	2455
2416	11
3064	1874
2710	1234
1690	1721
412	3043
932	1327
2228	2060
1747	905
1261	2540
1565	2645
1797	195
516	111
2748	1496
2578	518
2482	2813
3154	1340
419	1719
2792	503
452	262
1990	1150
831	1771
3184	533
147	2201
2066	2883
2620	3124
3230	2857
2709	1876
1600	1727
2246	556
413	1848
1470	3090
2337	1136
929	2691
869	2978
2359	657
83	3194
1038	678
393	1692
3065	2416
3079	265
285	664
17	580
3144	2482
3223	571
96	2425
1261	289
1307	2022
1890	3230
1492	507
1273	502
2097	786
2651	2574
793	1528
1094	2723
1031	2002
3172	2836
738	880
3146	2786
2900	2409
1571	3167
3181	1594
2658	1112
2565	1736
2611	2134
2448	629
1042	1737
1396	2639
1563	251
510	1385
3282	3182
84	3009
248	780
1620	2244
1538	2386
1537	2247
1517	290
954	2728
913	930
3162	2173
415	1732
840	320
1392	210
1987	887
1752	2465
1208	3225
946	551
1921	1553
523	301
2474	1256
2915	2670
1694	71
2258	209
1431	3250
2079	1536
1555	560
2798	3193
2206	1436
349	608
1715	1621
1950	1659
2063	1303
461	1280
1351	1825
1264	2726
2204	2157
2734	894
3293	2678
1283	1788
1449	7
2590	1138
990	2207
2417	866
1965	2392
1733	1815
1816	1454
704	1902
165	947
3218	283
2003	370
1358	2826
2136	901
482	3168
2440	1887
1401	248
2483	2498
1593	600
3063	659
412	2115
3196	3086
805	2977
2921	2815
1882	466
3016	722
1682	1077
1121	1116
1823	499
3155	1771
1129	1805
452	2563
2435	121
2447	829
1732	1577
1725	807
1442	1865
1389	3071
2073	1976
2228	3282
2041	1003
2974	3123
943	3226
262	2275
2405	1505
74	818
964	1933
2742	2967
832	3044
2610	811
962	2542
2571	823
2322	277
2398	554
3101	1344
1772	217
1872	2324
2221	3279
2244	2674
1618	2988
1983	855
517	813
158	1814
1792	3040
1505	2402
1419	1689
2436	1001
2897	2477
1753	1572
1590	2170
2198	228
2621	989
1191	1574
82	2256
1141	2995
243	1713
1516	1043
15	2136
2097	1702
2062	1849
1019	3250
741	1361
1497	1275
3272	3213
1939	40
3018	2030
1588	138
2398	1735
812	1851
2908	1847
2460	104
2769	2725
913	2339
1919	2637
461	697
2440	3279
1610	520
2708	1203
2767	983
559	1895
1641	2404
3198	2353
1813	2585
426	517
1860	698
436	2467
3081	1133
2064	695
1022	721
